,LR,DO,max_df,model,mean f1,std f1
1,0.001,0.5,0.5,GCN,0.06749958227246165,0.0017097086191142168
2,0.001,0.5,0.5,EGCN,0.4581848531007708,0.004613106219769518
3,0.005,0.5,0.5,GCN,0.43973893738751607,0.007626554471484642
4,0.005,0.5,0.5,EGCN,0.48982093074388117,0.0022457568464164454
5,0.01,0.5,0.5,GCN,0.4808244851113761,0.009635613548983733
6,0.01,0.5,0.5,EGCN,0.5026977103642868,0.004569417739893461
7,0.05,0.5,0.5,GCN,0.4933314843537994,0.009218095928686783
8,0.05,0.5,0.5,EGCN,0.38195709885422774,0.01730149478648308
9,0.001,0.7,0.5,GCN,0.033319831903358056,0.0024213305539048545
10,0.001,0.7,0.5,EGCN,0.46114842379891924,0.005487978365507199
11,0.005,0.7,0.5,GCN,0.4350780888130097,0.006405040477243751
12,0.005,0.7,0.5,EGCN,0.5090826188578865,0.0035549988425534734
13,0.01,0.7,0.5,GCN,0.49261886845691544,0.002313945110136467
14,0.01,0.7,0.5,EGCN,0.5092988922142966,0.006266599146768064
15,0.05,0.7,0.5,GCN,0.511906072364903,0.006102268119930955
16,0.05,0.7,0.5,EGCN,0.4296816694803689,0.015190583023550046
17,0.001,0.5,0.6,GCN,0.06721893126909988,0.001415013736383381
18,0.001,0.5,0.6,EGCN,0.4526125905352021,0.014332102222591382
19,0.005,0.5,0.6,GCN,0.44447177708498753,0.004215363441815455
20,0.005,0.5,0.6,EGCN,0.48927404437062777,0.007622865547412347
21,0.01,0.5,0.6,GCN,0.4807163193535513,0.004740203101962909
22,0.01,0.5,0.6,EGCN,0.5042077224465372,0.0007467874912756383
23,0.05,0.5,0.6,GCN,0.4916941099867523,0.007150560477608277
24,0.05,0.5,0.6,EGCN,0.3889586712530617,0.004596123677334844
25,0.001,0.7,0.6,GCN,0.03585528631361184,0.0008626412241450518
26,0.001,0.7,0.6,EGCN,0.4608931730482982,0.010049751443729897
27,0.005,0.7,0.6,GCN,0.4332546965922132,0.0060324522008965605
28,0.005,0.7,0.6,EGCN,0.5056635541531064,0.005567557248625975
29,0.01,0.7,0.6,GCN,0.4958783156082068,0.005299940402422296
30,0.01,0.7,0.6,EGCN,0.5100498462901984,0.004373199221111661
31,0.05,0.7,0.6,GCN,0.5155193925025631,0.0023731328326677664
32,0.05,0.7,0.6,EGCN,0.42407233446315606,0.0076826509349858015
33,0.001,0.5,0.7,GCN,0.0673825867619053,0.00512932658132643
34,0.001,0.5,0.7,EGCN,0.45925621557531776,0.007811418555412802
35,0.005,0.5,0.7,GCN,0.43976126173276936,0.0037484475112207747
36,0.005,0.5,0.7,EGCN,0.49334441711096355,0.009867883907855495
37,0.01,0.5,0.7,GCN,0.4846258541052811,0.0019023477753325995
38,0.01,0.5,0.7,EGCN,0.5011430860128948,0.005015484830705354
39,0.05,0.5,0.7,GCN,0.49083200473898286,0.006564740354621614
40,0.05,0.5,0.7,EGCN,0.3953429461069807,0.023217427601390395
41,0.001,0.7,0.7,GCN,0.03683108823714682,0.004805311682789919
42,0.001,0.7,0.7,EGCN,0.4641612738443813,0.003211654990768299
43,0.005,0.7,0.7,GCN,0.4329902092916878,0.0026579228924284103
44,0.005,0.7,0.7,EGCN,0.5099808314740444,0.005051631518592884
45,0.01,0.7,0.7,GCN,0.49561755399920854,0.004379184429205357
46,0.01,0.7,0.7,EGCN,0.5134379724067603,0.001188754936066983
47,0.05,0.7,0.7,GCN,0.5200574802928615,0.004588088723078293
48,0.05,0.7,0.7,EGCN,0.42739341310363255,0.0023038512988622674
