,LR,DO,n_hidden,mean acc,std acc
1,0.005,0.05,64,0.37002499999999994,0.0018155577655365287
2,0.01,0.05,64,0.37002499999999994,0.0076963465358571275
3,0.015,0.05,64,0.39540000000000003,0.01966173313825615
4,0.02,0.05,64,0.4165749999999999,0.005948003866844736
5,0.025,0.05,64,0.4145,0.007028513356322233
6,0.030000000000000002,0.05,64,0.404,0.019237495938920938
7,0.034999999999999996,0.05,64,0.370025,0.0025364837866621616
8,0.04,0.05,64,0.379875,0.01885222135452477
9,0.045,0.05,64,0.37002499999999994,0.008196950652529273
10,0.049999999999999996,0.05,64,0.37002500000000005,0.0037777308003615153
11,0.055,0.05,64,0.37002499999999994,0.0032048790928832257
12,0.06,0.05,64,0.37002499999999994,0.00754668801528194
13,0.065,0.05,64,0.37002499999999994,0.004428882477555712
14,0.07,0.05,64,0.370025,0.00714991258687824
15,0.07500000000000001,0.05,64,0.370025,0.006796322535018477
16,0.08,0.05,64,0.37002499999999994,0.0028387937579190206
17,0.085,0.05,64,0.370025,0.0028683619018527013
18,0.09000000000000001,0.05,64,0.37002499999999994,0.0043827787988900396
19,0.095,0.05,64,0.370025,0.004987108380614966
20,0.1,0.05,64,0.370025,0.005376104537674088
21,0.10500000000000001,0.05,64,0.37002500000000005,0.0035902646142032583
22,0.11,0.05,64,0.370025,0.0043570345419792125
23,0.115,0.05,64,0.37002500000000005,0.006044832503882967
24,0.12000000000000001,0.05,64,0.370025,0.006297519352888088
25,0.125,0.05,64,0.370025,0.004722552276047351
26,0.13,0.05,64,0.370025,0.006511240281236746
27,0.135,0.05,64,0.37960000000000005,0.022046456631395425
28,0.14,0.05,64,0.30437499999999995,0.12844132901834984
29,0.14500000000000002,0.05,64,0.30599999999999994,0.12855361235686844
30,0.15,0.05,64,0.3892,0.025774333163051968
31,0.155,0.05,64,0.38920000000000005,0.026643080715262637
32,0.16,0.05,64,0.3748,0.009581101189320568
33,0.165,0.05,64,0.4072,0.024183232827725915
34,0.17,0.05,64,0.370025,0.0028650916215716507
35,0.17500000000000002,0.05,64,0.38882500000000003,0.025987569143727154
36,0.18000000000000002,0.05,64,0.37002499999999994,0.0043195775256383686
37,0.185,0.05,64,0.37477499999999997,0.00936028845709361
38,0.19,0.05,64,0.3828,0.026611745527116405
39,0.195,0.05,64,0.37635,0.01317891308113077
40,0.2,0.05,64,0.388775,0.021796129243514786
41,0.20500000000000002,0.05,64,0.37002499999999994,0.0057848941217623125
42,0.21000000000000002,0.05,64,0.370025,0.003677125235833022
43,0.215,0.05,64,0.376275,0.012934788363170073
44,0.22,0.05,64,0.370025,0.003123899806331832
45,0.225,0.05,64,0.38055,0.012197489495793792
46,0.23,0.05,64,0.370025,0.003095763233840717
47,0.23500000000000001,0.05,64,0.373525,0.0066428533026102595
48,0.24000000000000002,0.05,64,0.30522499999999997,0.1284916436971681
49,0.245,0.05,64,0.37002500000000005,0.0032078029864690905
50,0.25,0.05,64,0.370025,0.005338773267333968
51,0.255,0.05,64,0.37960000000000005,0.01904327309051677
52,0.26,0.05,64,0.312075,0.13249124027648018
53,0.265,0.05,64,0.37002500000000005,0.004475907729165116
54,0.27,0.05,64,0.305575,0.12830891921452695
55,0.275,0.05,64,0.31002500000000005,0.11737172253145134
56,0.28,0.05,64,0.37002500000000005,0.005272214904572835
57,0.28500000000000003,0.05,64,0.24157500000000004,0.15613156711568613
58,0.29000000000000004,0.05,64,0.37002500000000005,0.00521200537221519
59,0.295,0.05,64,0.3109,0.13040145704707445
60,0.3,0.05,64,0.3111,0.11545116391790947
61,0.305,0.05,64,0.31695,0.13612702248267974
62,0.31,0.05,64,0.24865000000000004,0.16506376419432583
63,0.315,0.05,64,0.304125,0.12748012099931502
64,0.32,0.05,64,0.242825,0.15698647632837678
65,0.325,0.05,64,0.24605000000000002,0.1514711317380312
66,0.33,0.05,64,0.30655,0.12679147743440802
67,0.335,0.05,64,0.310575,0.11838081031146896
68,0.34,0.05,64,0.30274999999999996,0.13522647669742788
69,0.34500000000000003,0.05,64,0.37002499999999994,0.003564933379461658
70,0.35000000000000003,0.05,64,0.244075,0.15777392053188005
71,0.35500000000000004,0.05,64,0.242225,0.15650913312008344
72,0.36,0.05,64,0.370025,0.004811054977860877
73,0.365,0.05,64,0.37002500000000005,0.005392355700433708
74,0.37,0.05,64,0.30455,0.1290544119741747
75,0.375,0.05,64,0.178025,0.15776603325811295
76,0.38,0.05,64,0.32942499999999997,0.14592015368001776
77,0.385,0.05,64,0.30522499999999997,0.12605022312554626
78,0.39,0.05,64,0.17957499999999998,0.15841416445507644
79,0.395,0.05,64,0.370025,0.007171296953829194
80,0.4,0.05,64,0.14195,0.12060914662661368
81,0.405,0.05,64,0.15410000000000001,0.13264405847982788
82,0.41000000000000003,0.05,64,0.37455,0.013899775178037962
