,LR,DO,n_hidden,mean acc,std acc
1,0.005,0.05,64,0.451225,0.005052474641203072
2,0.01,0.05,64,0.659325,0.024475319201187146
3,0.015,0.05,64,0.714075,0.010281536850101735
4,0.02,0.05,64,0.7577,0.010181355508968318
5,0.025,0.05,64,0.792,0.012882885934448097
6,0.030000000000000002,0.05,64,0.821725,0.005241302319080637
7,0.034999999999999996,0.05,64,0.83245,0.005886743581981461
8,0.04,0.05,64,0.8399000000000001,0.007935048834128225
9,0.045,0.05,64,0.8406500000000001,0.006454843142943113
10,0.049999999999999996,0.05,64,0.8396000000000001,0.00848469209812591
11,0.055,0.05,64,0.8326,0.014343203965641704
12,0.06,0.05,64,0.83865,0.010917703513102017
13,0.065,0.05,64,0.8353249999999999,0.004461361899689347
14,0.07,0.05,64,0.839175,0.006551049534234967
15,0.07500000000000001,0.05,64,0.8274750000000001,0.006520352751193746
16,0.08,0.05,64,0.828975,0.011043210583883668
17,0.085,0.05,64,0.83485,0.009068971827059562
18,0.09000000000000001,0.05,64,0.8291999999999999,0.008857059331403393
19,0.095,0.05,64,0.8233500000000001,0.014709988103326261
20,0.1,0.05,64,0.8122250000000001,0.013349953183438503
21,0.10500000000000001,0.05,64,0.8224749999999998,0.00826906887140266
22,0.11,0.05,64,0.82065,0.015133035055797604
23,0.115,0.05,64,0.8016,0.019747531491302903
24,0.12000000000000001,0.05,64,0.8046749999999999,0.01730148115046801
25,0.125,0.05,64,0.7946500000000001,0.01706447332911276
26,0.13,0.05,64,0.78535,0.020485421645648396
27,0.135,0.05,64,0.793525,0.027773908619421944
28,0.14,0.05,64,0.785825,0.01215719951304574
29,0.14500000000000002,0.05,64,0.74105,0.06118356601245139
30,0.15,0.05,64,0.79275,0.011735895790266713
31,0.155,0.05,64,0.759825,0.056893793598247616
32,0.16,0.05,64,0.6852499999999999,0.1056244230753475
33,0.165,0.05,64,0.6870499999999999,0.12640541424321983
34,0.17,0.05,64,0.6349750000000001,0.15296446482761933
35,0.17500000000000002,0.05,64,0.347175,0.1221160206524926
36,0.18000000000000002,0.05,64,0.38575,0.1589853766860336
37,0.185,0.05,64,0.577825,0.1530664194067399
38,0.19,0.05,64,0.35075,0.12258647458019176
39,0.195,0.05,64,0.40265000000000006,0.10074321937480457
40,0.2,0.05,64,0.3479,0.12156442222130619
41,0.20500000000000002,0.05,64,0.42110000000000003,0.15221316056767234
42,0.21000000000000002,0.05,64,0.40185000000000004,0.2157564222682606
43,0.215,0.05,64,0.419825,0.06058282553661557
44,0.22,0.05,64,0.423475,0.12232376097880573
45,0.225,0.05,64,0.565425,0.14449164335697756
46,0.23,0.05,64,0.501125,0.19589491762166777
47,0.23500000000000001,0.05,64,0.42485,0.20557742458742884
48,0.24000000000000002,0.05,64,0.484,0.06703646395805793
49,0.245,0.05,64,0.39905,0.10262820031550782
50,0.25,0.05,64,0.38285,0.2215862614197911
51,0.255,0.05,64,0.35005000000000003,0.12131582233987452
52,0.26,0.05,64,0.562975,0.13781362868018532
53,0.265,0.05,64,0.31555,0.11221755098913895
54,0.27,0.05,64,0.21082499999999996,0.056242699526249613
