,2lc,LR,DO,max_df,model,mean f1,std f1
1,classifier_0,0.001,0.5,0.5,GCN,0.438299611240969,0.015000059089656192
2,classifier_0,0.005,0.5,0.5,GCN,0.7500155323999927,0.00810431984446045
3,classifier_0,0.01,0.5,0.5,GCN,0.7613259967821776,0.007720258625310074
4,classifier_0,0.05,0.5,0.5,GCN,0.7692512288532645,0.015923288333038875
5,classifier_0,0.001,0.7,0.5,GCN,0.3747082721411889,0.009933161249364305
6,classifier_0,0.005,0.7,0.5,GCN,0.7631283300745967,0.0020217534768252675
7,classifier_0,0.01,0.7,0.5,GCN,0.7720408773590858,0.014076009480699033
8,classifier_0,0.05,0.7,0.5,GCN,0.7659806361933482,0.0019243056301071909
9,classifier_0,0.001,0.5,0.5,EGCN,0.7529747135818848,0.00556110846900642
10,classifier_0,0.005,0.5,0.5,EGCN,0.7642548370723156,0.007239986253066988
11,classifier_0,0.01,0.5,0.5,EGCN,0.7636874387248872,0.0021585429756528765
12,classifier_0,0.05,0.5,0.5,EGCN,0.7515344744801337,0.007350852905616891
13,classifier_0,0.001,0.7,0.5,EGCN,0.7634038830637812,0.022223772265829656
14,classifier_0,0.005,0.7,0.5,EGCN,0.7679470581116993,0.010822869754726499
15,classifier_0,0.01,0.7,0.5,EGCN,0.7589125745201774,0.012303169605338877
16,classifier_0,0.05,0.7,0.5,EGCN,0.7545427177406738,0.01343846830002035
17,classifier_1,0.001,0.5,0.5,GCN,0.5851055037630853,0.0068302556678723585
18,classifier_1,0.005,0.5,0.5,GCN,0.7391408781483234,0.0027898035777220113
19,classifier_1,0.01,0.5,0.5,GCN,0.7448848413618613,0.0018792917534912813
20,classifier_1,0.05,0.5,0.5,GCN,0.7513846868606348,0.006623157855528928
21,classifier_1,0.001,0.7,0.5,GCN,0.5546377168334505,0.005044834488986773
22,classifier_1,0.005,0.7,0.5,GCN,0.7414303767480589,0.011775743008856776
23,classifier_1,0.01,0.7,0.5,GCN,0.7530653582417014,0.00558846299050646
24,classifier_1,0.05,0.7,0.5,GCN,0.7437208156701055,0.008010721423946085
25,classifier_1,0.001,0.5,0.5,EGCN,0.7465373019890715,0.01230427426623339
26,classifier_1,0.005,0.5,0.5,EGCN,0.7473017149212337,0.008185843935732377
27,classifier_1,0.01,0.5,0.5,EGCN,0.7480123500941286,0.012675283914682032
28,classifier_1,0.05,0.5,0.5,EGCN,0.7228666173030506,0.02312624952259525
29,classifier_1,0.001,0.7,0.5,EGCN,0.7491956523998105,0.00445414965073667
30,classifier_1,0.005,0.7,0.5,EGCN,0.7462694493635417,0.010360282874197373
31,classifier_1,0.01,0.7,0.5,EGCN,0.7438729192128745,0.008838958931252463
32,classifier_1,0.05,0.7,0.5,EGCN,0.7250217651550103,0.018700225848943288
33,classifier_2,0.001,0.5,0.5,GCN,0.1577357625465385,0.010921928787372802
34,classifier_2,0.005,0.5,0.5,GCN,0.43160484462257315,0.008802219757265002
35,classifier_2,0.01,0.5,0.5,GCN,0.43713868377864046,0.006550650615535679
36,classifier_2,0.05,0.5,0.5,GCN,0.4466053730365742,0.014908749322840373
37,classifier_2,0.001,0.7,0.5,GCN,0.12158724299690267,0.005796566535265596
38,classifier_2,0.005,0.7,0.5,GCN,0.42796759248804733,0.012304493790463647
