,LR,DO,max_df,model,mean f1,std f1
1,0.001,0.5,0.5,GCN,0.7667981725124909,0.00279560317365258
2,0.001,0.5,0.5,EGCN,0.8259844050755553,0.003105845042405172
3,0.005,0.5,0.5,GCN,0.8193016289358291,0.004127534196474788
4,0.005,0.5,0.5,EGCN,0.8228849236883633,0.0030017859813341852
5,0.01,0.5,0.5,GCN,0.8245714044890889,0.0008535933643991118
6,0.01,0.5,0.5,EGCN,0.8268233769797243,0.004636768738221302
7,0.05,0.5,0.5,GCN,0.8258213469588015,0.0060974256046381885
8,0.05,0.5,0.5,EGCN,0.8026350303999591,0.005333838864244736
9,0.001,0.7,0.5,GCN,0.7590830177021647,0.006340560583428031
10,0.001,0.7,0.5,EGCN,0.8295461179837499,0.0009728946537864338
11,0.005,0.7,0.5,GCN,0.8223085389053346,0.0008436999992645615
12,0.005,0.7,0.5,EGCN,0.8250235609349758,0.005637905223220357
13,0.01,0.7,0.5,GCN,0.8277411472074747,0.00442367308915217
14,0.01,0.7,0.5,EGCN,0.8248604910203694,0.0037520501242242193
15,0.05,0.7,0.5,GCN,0.831309016678135,0.0009477520817105954
16,0.05,0.7,0.5,EGCN,0.8237197870814071,0.005090700984032875
17,0.001,0.5,0.6,GCN,0.7696863677717657,0.005813840409157402
18,0.001,0.5,0.6,EGCN,0.8279130278142155,0.0002900120480549388
19,0.005,0.5,0.6,GCN,0.8218203932976991,0.002636094015155097
20,0.005,0.5,0.6,EGCN,0.8211470345063359,0.008644554501702763
21,0.01,0.5,0.6,GCN,0.8246438037533032,0.004651675418386812
22,0.01,0.5,0.6,EGCN,0.8277448937901221,0.004618244952234086
23,0.05,0.5,0.6,GCN,0.8243163115914868,0.005178519968476531
24,0.05,0.5,0.6,EGCN,0.8040276661277238,0.00172093708050874
25,0.001,0.7,0.6,GCN,0.7632394140159717,0.005649224649276825
26,0.001,0.7,0.6,EGCN,0.8272837693157911,0.0005305124991479304
27,0.005,0.7,0.6,GCN,0.8263017639811213,0.004133147867773625
28,0.005,0.7,0.6,EGCN,0.8269052891651351,0.00939276613576872
29,0.01,0.7,0.6,GCN,0.8292408562407073,0.002780927435688035
30,0.01,0.7,0.6,EGCN,0.8243799748820099,0.0059082777092763035
31,0.05,0.7,0.6,GCN,0.8319361096578856,0.009251832448657153
32,0.05,0.7,0.6,EGCN,0.8114063886490013,0.003642445471808726
33,0.001,0.5,0.7,GCN,0.7705308945741408,0.004867229905782647
34,0.001,0.5,0.7,EGCN,0.8255538003657446,0.0005405401710132085
35,0.005,0.5,0.7,GCN,0.8194900846833982,0.00041588472619158196
36,0.005,0.5,0.7,EGCN,0.8271805238814057,0.005676208223079315
37,0.01,0.5,0.7,GCN,0.8202967966316628,0.003225640184064434
38,0.01,0.5,0.7,EGCN,0.8300595050361165,0.00249133537117997
39,0.05,0.5,0.7,GCN,0.8250774433677316,0.0033385907724318856
40,0.05,0.5,0.7,EGCN,0.803837126194757,0.003431066168360563
41,0.001,0.7,0.7,GCN,0.7506143437425691,0.010778009589880249
42,0.001,0.7,0.7,EGCN,0.8310415277788029,0.005676635836546754
43,0.005,0.7,0.7,GCN,0.8226399242285991,0.002569563648866511
44,0.005,0.7,0.7,EGCN,0.8232011603616373,0.002708882591130834
45,0.01,0.7,0.7,GCN,0.8246894350060007,0.007041735338534133
46,0.01,0.7,0.7,EGCN,0.8216107489175424,0.004798740765732637
47,0.05,0.7,0.7,GCN,0.8318510466910256,0.004091401053259226
48,0.05,0.7,0.7,EGCN,0.8203995331626093,0.0006143488187511502
